City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
581,Pedasi,PA,79.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
590,Port Blair,IN,82.35,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
598,Jalu,LY,80.85,scattered clouds,29.0331,21.5482,صاحبة الفخامة
599,Labuhan,ID,80.35,broken clouds,-6.8844,112.2051,DoubleFAG
603,Santa Isabel Do Rio Negro,BR,77.34,overcast clouds,-0.4139,-65.0192,Hotel GSA
604,Vaitape,PF,82.31,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
607,Diamantino,BR,78.82,broken clouds,-14.4086,-56.4461,Hotel Delta
610,Yen Bai,VN,77.54,overcast clouds,21.7,104.8667,AK MOTEL
617,Nuevo Progreso,MX,80.55,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
619,Dabhol,IN,77.85,clear sky,17.6,73.1667,Ashwamedh Resort
620,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
625,Istmina,CO,75.04,overcast clouds,5.1605,-76.684,Hotel La Gran Estación Istmina
631,Sena Madureira,BR,80.28,overcast clouds,-9.0656,-68.6569,Hotel Central
640,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
642,Mayumba,GA,77.67,overcast clouds,-3.432,10.6554,LIKWALE LODGE
643,Takoradi,GH,78.03,overcast clouds,4.8845,-1.7554,Raybow International Hotel
644,Loiza,PR,78.8,broken clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
647,Rabaul,PG,83.57,overcast clouds,-4.1967,152.1721,Rabaul Hotel
650,Bundaberg,AU,80.22,scattered clouds,-24.85,152.35,Takalvan Motel
658,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
659,Lodwar,KE,76.55,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
675,Tarakan,ID,76.5,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
677,Finschhafen,PG,85.46,overcast clouds,-6.6024,147.8681,Cossam Guest House
678,Mubi,NG,84.36,scattered clouds,10.2676,13.2644,Hotel
679,Fort Carson,US,77.23,scattered clouds,38.7375,-104.7889,Cheyenne Mountain Estates
680,Allende,MX,82.72,scattered clouds,25.2833,-100.0167,Ecovergel Hotel Boutique
684,Saint-Georges,GD,79.05,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
690,Santa Rosa,PH,88.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
691,Puerto Quijarro,BO,83.26,scattered clouds,-17.7833,-57.7667,Hotel palance
695,Pineville,US,76.93,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
701,Porto Novo,BJ,78.98,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
705,Santa Cruz,BO,76.46,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
706,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
720,Atar,MR,77.49,clear sky,20.5169,-13.0499,Oumou Elghoura
721,Awjilah,LY,79.03,scattered clouds,29.1081,21.2869,المنزل
